Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Owned By,Owned By,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status,Task,Task Status
3211793,Bus maintanance,bus maintanance,,,,epic,,,"Dec 15, 2016",,,,User able to maintain bus details,https://www.pivotaltracker.com/epic/show/3211793,,,,,,,,,,,,,,,,,
3211585,Report,report,,,,epic,,,"Dec 15, 2016",,,,Allow to view the specific report,https://www.pivotaltracker.com/epic/show/3211585,,,,,,,,,,,,,,,,,
3211577,Route Maintenance,route maintaenance,,,,epic,,,"Dec 15, 2016",,,,User able to maintain route details,https://www.pivotaltracker.com/epic/show/3211577,,,,,,,,,,,,,,,,,
3211573,Ticket selling ,ticket selling,,,,epic,,,"Dec 15, 2016",,,,admin can help customer purchase  their ticket through this module,https://www.pivotaltracker.com/epic/show/3211573,,,,,,,,,,,,,,,,,
3211569,bus schedule ,bus schedule,,,,epic,,,"Dec 15, 2016",,,,User able to maintain the bus schedule,https://www.pivotaltracker.com/epic/show/3211569,,,,,,,,,,,,,,,,,
3211567,User authorization and authentication needed for security purpose,login and user authentication,,,,epic,,,"Dec 15, 2016",,,,All user for this system should be verified as  a real user before using the system,https://www.pivotaltracker.com/epic/show/3211567,,,,,,,,,,,,,,,,,
3211527,Staff Maintenance,staff maintenance,,,,epic,,,"Dec 15, 2016",,,,Admin can maintain staff record and data through this module,https://www.pivotaltracker.com/epic/show/3211527,,,,,,,,,,,,,,,,,
136176613,User can view bus schedule,bus schedule,1,"Nov 10, 2016","Nov 30, 2016",feature,2,accepted,"Dec 15, 2016","Nov 16, 2016",,Wong Jun Xiang,Allow user to view the bus schedule by using table for user to view where they allow to navigate the table,https://www.pivotaltracker.com/story/show/136176613,Wong Jun Xiang,,,Allow to user to scroll,completed
136176735,User able add new schedule for the bus schedule,bus schedule,1,"Nov 10, 2016","Nov 30, 2016",feature,2,accepted,"Dec 15, 2016","Nov 17, 2016",,Wong Jun Xiang,Allow to add new but schedule to the table which allow user to view,https://www.pivotaltracker.com/story/show/136176735,Wong Jun Xiang,,,Able to select Bus id,completed,Able to select Route id,completed,Able to select Driver id,completed,Able to insert seat number,completed,Able to select the date from calendar,completed,Able to insert time,completed
136177073,User able to add route record,route maintaenance,1,"Nov 10, 2016","Nov 30, 2016",feature,2,accepted,"Dec 15, 2016","Nov 17, 2016",,Tan Sze Hui,allow admin staff to add new route so that customer have choice to choose,https://www.pivotaltracker.com/story/show/136177073,Tan Sze Hui,,,Able to click insert button and prompt to the add route interface,completed,Able to auto generate route id,completed,Able to select station departure,completed,Able to select station end ,completed,Able to insert bus fare,completed,Able to add data to database,completed,Able to clear all data by clicking reset button,completed
136176863,Design database for the system,login and user authentication,1,"Nov 10, 2016","Nov 30, 2016",feature,3,accepted,"Dec 15, 2016","Nov 19, 2016",,arthuryangzheng,creating the table for each module of the system,https://www.pivotaltracker.com/story/show/136176863,arthuryangzheng,,,design staff maintenance table ,completed,design bus maintenance table,completed,design ticket selling table,completed,design route maintenance table,completed,design admin table,completed,design bus table,completed,design payment table,completed
136181367, User able to add bus record,bus maintanance,1,"Nov 10, 2016","Nov 30, 2016",feature,2,accepted,"Dec 15, 2016","Nov 21, 2016",,Wong Jun Xiang,Allow staff to add bus information which allow user to view,https://www.pivotaltracker.com/story/show/136181367,Wong Jun Xiang,hockseng93,Tan Sze Hui,Able to insert plate number,completed,Able to insert amount of seat,completed,Able select insurance expiry date,completed,Able to insert road tax,completed,Able to select status,completed
136177399,User able to update the selected table bus schedule,bus schedule,1,"Nov 10, 2016","Nov 30, 2016",feature,3,accepted,"Dec 15, 2016","Nov 22, 2016",,Wong Jun Xiang,Allow to double click on selected table to update the bus schedule,https://www.pivotaltracker.com/story/show/136177399,Wong Jun Xiang,,,After double click a new interface will prompt,completed,Able to update the Bus id,completed,Able to update the Route id ,completed,Able to update the Driver id,completed,Able to update the seat number,completed,Able to update the Date and Time,completed,Restricted the update Date and time after the current date,completed
136177233,Name field format,staff maintenance,1,"Nov 10, 2016","Nov 30, 2016",bug,,accepted,"Dec 15, 2016","Nov 23, 2016",,hockseng93,name field should be alphabetic only,https://www.pivotaltracker.com/story/show/136177233,hockseng93,,,cannot be number,completed,cannot be symbol,completed,must be more than 3 characters,completed
136178005,User able to log in to the system,login and user authentication,1,"Nov 10, 2016","Nov 30, 2016",feature,2,accepted,"Dec 15, 2016","Nov 27, 2016",,arthuryangzheng,,https://www.pivotaltracker.com/story/show/136178005,arthuryangzheng,,,create textbox for user to enter id,completed,create textbox for user to enter password,completed,create login button for user to click and to check  their id and password,completed,create exit button for user to exit the system,completed
136177527,Unable to have empty  field in seat number while selecting other field and button,bus schedule,1,"Nov 10, 2016","Nov 30, 2016",bug,,accepted,"Dec 15, 2016","Nov 27, 2016",,Wong Jun Xiang,"Prompt system error message when selecting other field or button
",https://www.pivotaltracker.com/story/show/136177527,Wong Jun Xiang,,,Set 0 seat number as default,completed
136177839,Add staff to database,staff maintenance,1,"Nov 10, 2016","Nov 30, 2016",feature,2,accepted,"Dec 15, 2016","Nov 27, 2016",,hockseng93,Allow admin staff to add  the staff record. So that the staff can  do transaction for the bus ticketing,https://www.pivotaltracker.com/story/show/136177839,hockseng93,,,generate staff id,completed,gender should be radio button which is Male and Female,completed,phone number format xxx-xxxxxxx,completed,Position field : Available or Unavailable,completed,IC format xxxxxx-xx-xxxx,completed
136177639,User able to select a trip from calendar,ticket selling,1,"Nov 10, 2016","Nov 30, 2016",feature,2,accepted,"Dec 15, 2016","Nov 27, 2016",,sam_yschai,Allow user to select their trip date in calendar and the calendar display the lsit of bus schedule for the day,https://www.pivotaltracker.com/story/show/136177639,sam_yschai,,,Display calendar layout,not completed,Display schedule in the table layout,not completed,Display details on confirmation on selected trip,not completed
136175775,User able to delete route record,route maintaenance,1,"Nov 10, 2016","Nov 30, 2016",feature,2,accepted,"Dec 15, 2016","Nov 29, 2016",,Tan Sze Hui,Allow to delete route record if the route is no longer in used,https://www.pivotaltracker.com/story/show/136175775,Tan Sze Hui,,,Able to delete route record when click the delete button,completed
136175207,Admin able to view and print staff and route report,report,2,"Dec 1, 2016","Dec 21, 2016",feature,1,accepted,"Dec 15, 2016","Dec 5, 2016",,Wong Jun Xiang,Able to view overall staff and route report,https://www.pivotaltracker.com/story/show/136175207,Wong Jun Xiang,,,Able to view staff report,completed,Able to view route report,completed
136175445,Admin able to view and print the report for yearly and monthly Ticket Selling and Bus Schedule,report,2,"Dec 1, 2016","Dec 21, 2016",feature,2,accepted,"Dec 15, 2016","Dec 5, 2016",,Wong Jun Xiang,Allow to select the specific year and month of the report for view and print the report,https://www.pivotaltracker.com/story/show/136175445,Wong Jun Xiang,,,Able to select the specific year,completed,Able to select the specific month,completed,Able to show  yearly ticket selling report,completed,Able to show  yearly bus schedule report,completed,Able to show monthly ticket selling report,completed,Able to show  monthly bus schedule report,completed
136188723,User able to update selected route details,route maintaenance,2,"Dec 1, 2016","Dec 21, 2016",feature,2,accepted,"Dec 15, 2016","Dec 6, 2016",,Tan Sze Hui,Allow admin staff to update the route details if there have any changes,https://www.pivotaltracker.com/story/show/136188723,Tan Sze Hui,,,Able to double click and prompt a new interface,completed,Able to select station departure,completed,Able to select station end,completed,Able to insert bus fare,completed,Able to update into database,completed
136175579,View staff detail,staff maintenance,2,"Dec 1, 2016","Dec 21, 2016",feature,2,accepted,"Dec 15, 2016","Dec 7, 2016",,hockseng93,View the staff detail so that the manager get to know the staff information,https://www.pivotaltracker.com/story/show/136175579,hockseng93,,,enable to view all the staff records,not completed,double click to view staff details,not completed
136175845,Reset staff details,staff maintenance,2,"Dec 1, 2016","Dec 21, 2016",feature,1,accepted,"Dec 15, 2016","Dec 7, 2016",,hockseng93,allow to reset staff details,https://www.pivotaltracker.com/story/show/136175845,hockseng93,,,only perform in insert function,not completed
136176157,"User able to view the bus, route and driver information before updating a new bus schedule",bus schedule,2,"Dec 1, 2016","Dec 21, 2016",feature,1,accepted,"Dec 15, 2016","Dec 11, 2016",,Wong Jun Xiang,"User can select the view information to view bus , route and driver information",https://www.pivotaltracker.com/story/show/136176157,Wong Jun Xiang,,,Able to show bus information ,completed,Able to show route information,completed,Able to show driver information,completed
136176249,"User able to view the bus, route and driver information before adding a new bus schedule",bus schedule,2,"Dec 1, 2016","Dec 21, 2016",feature,1,accepted,"Dec 15, 2016","Dec 11, 2016",,Wong Jun Xiang,"User can select the view information to view bus , route and driver information",https://www.pivotaltracker.com/story/show/136176249,Wong Jun Xiang,,,Able to show bus information ,completed,Able to show route information,completed,Able to show driver information,completed
136174743,Edit staff record ,staff maintenance,2,"Dec 1, 2016","Dec 21, 2016",feature,2,accepted,"Dec 15, 2016","Dec 15, 2016",,hockseng93,allow staff to update their information if there has any changes,https://www.pivotaltracker.com/story/show/136174743,hockseng93,,,retrieve staff record,not completed,ID cannot be update,not completed
136174791,Delete Staff record,staff maintenance,2,"Dec 1, 2016","Dec 21, 2016",feature,2,accepted,"Dec 15, 2016","Dec 15, 2016",,hockseng93,delete the staff record if the staff no longer exist,https://www.pivotaltracker.com/story/show/136174791,hockseng93,,,retrieve staff record,not completed
136174683,User able to view route details,route maintaenance,2,"Dec 1, 2016","Dec 21, 2016",feature,2,accepted,"Dec 15, 2016","Dec 15, 2016",,Tan Sze Hui,View route details so that staff can get to know the information,https://www.pivotaltracker.com/story/show/136174683,Tan Sze Hui,,,Able to show the existing data,not completed,Able to search by choosing the departure station and end station,not completed,Able to clear the station departure and station end by clicking reset button,not completed
136175975,Print bus ticket,ticket selling,2,"Dec 1, 2016","Dec 21, 2016",feature,2,started,"Dec 15, 2016",,,sam_yschai,Allow user to print out a ticket receipt after payment is made,https://www.pivotaltracker.com/story/show/136175975,sam_yschai,,,Display bus ticket layout,not completed
136176047,User able to view the specific year of the month in monthly report by adding year,report,2,"Dec 1, 2016","Dec 21, 2016",feature,1,started,"Dec 15, 2016",,,Wong Jun Xiang,Unable to show the specific report by the year of the month,https://www.pivotaltracker.com/story/show/136176047,Wong Jun Xiang,,,Allow user to select year,not completed
136176297,User able to do password recovery,"",2,"Dec 1, 2016","Dec 21, 2016",feature,3,started,"Dec 15, 2016",,,arthuryangzheng,Password recovery features for user,https://www.pivotaltracker.com/story/show/136176297,arthuryangzheng,,
136182555,User able to delete bus record,bus maintanance,2,"Dec 1, 2016","Dec 21, 2016",feature,2,started,"Dec 15, 2016",,,Wong Jun Xiang,Delete the busf record if the bus is no longer exist,https://www.pivotaltracker.com/story/show/136182555,Wong Jun Xiang,hockseng93,Tan Sze Hui,Unable to delete if the bus is on schedule,completed
136183357,User able to update bus record ,bus maintanance,2,"Dec 1, 2016","Dec 21, 2016",feature,2,started,"Dec 15, 2016",,,Wong Jun Xiang,Allow staff to update the bus information if any changes,https://www.pivotaltracker.com/story/show/136183357,Wong Jun Xiang,hockseng93,Tan Sze Hui,retrieve bus record by double click on the table,completed,bus ID cannot be update,completed
